,title,company,location,salary,requirements
482,New Graduate Roles,Lynk,"Falls Church, VA",,"New Graduate engineer positions are available to graduates who have completed a bachelor's or graduate-level degree in Aerospace, Mechanical, Electrical,…"
483,newData Engineer,Hitachi Solutions,"Chicago, IL 60606 (The Loop area)+1 location",,Distributed Data Processing of big data batch or streaming pipelines.Construction of data science and machine learning research and production pipelines.
484,newData Scientist,Ariel Investments,"Chicago, IL",,"Experience with data pipelines and APIs, applied knowledge in data automation and transportation tools.Proficiency developing data visualization tools such as…"
485,Clinical Quality Data Science/Analytics Specialist (FT) John...,Ballad Health,"Johnson City, TN",,Job Details Apply Save Print this job Email a…
486,newBusiness Analyst,Anheuser-Busch,"Jersey City, NJ+5 locations","$78,000 - $88,000 a year",Interpreting sales data with analytical takeaways and recommendations is an integral role within our Sales department.
487,Data Entry Clerk,"Canon Business Process Services, Inc.","Hilliard, OH 43026+5 locations",,"Performs data entry processes into a database.Ensure complete and accurate data entries into system.Under supervision, processes data entry transactions and…"
488,newProduct Data Governance Manager,Nike,"Beaverton, OR",,Aligning the business’ needs for information with existing data and defines & activates new data needs.Lead data policy & process training.
489,newLab Data Entry,TridentCare,"Tukwila, WA 98168",,Receives specimens from Phlebotomists and Couriers.Enters patient demographic and testing information into laboratory information system.
490,newAssociate Software Engineer - Data and Analytics,WALGREENS,"Chicago, IL 60607 (West Loop Gate area)+7 locations",,"Experience analyzing and reporting data in order to identify issues, trends, or exceptions to drive improvement of results and find solutions."
491,Accounts Receivable Specialist,Outside Online,"Remote in Boulder, CO",$21.63 - $26.92 an hour,"This salary range is merely an estimate and may vary based on an applicant’s location, market data/ranges, an applicant’s skills and prior relevant experience,…"
492,IT Services Data Entry Specialist Part Time,USLI,"Temporarily Remote in Wayne, PA",,"Enter customer and community member data into database system using tools provided.Troubleshoot data entry issues, provide appropriate solutions or redirect to…"
493,Observability Engineering - Data Analyst - Opportunity for W...,VMware,"Remote in Dallas, TX+39 locations",,"Creating data models for multiple data sources in Athena.Transformation of data frames using Pandas.As a member of the Observability team, you will be…"
494,DATA SPECIALIST,University of Washington,"Remote in Seattle, WA+2 locations",,Agility with detailed information and data.The Data Specialist is expected to become specialized in data pertaining to the content area and will consult with…
495,Intelligence Analyst,National Security Agency,"Fort Meade, MD","$66,214 - $103,176 a year",Apply new techniques and develop creative solutions to address analytic problems such as synthesizing large volumes of data and disparate sources of information…
496,"Principal Data Scientist, Core Commerce Open to remote work,...",Nike,"Remote in Beaverton, OR","$157,500 a year",We are looking for a principal data scientist to help drive the data science roadmap and execution in support of Nike’s digital experiences.
497,newDATA ENTRY CLERK,Bureau Veritas,"Suwanee, GA 30024+2 locations",,"Perform high volume of data entry work for received samples.SUMMARY: Perform Data Entry on received samples, entering necessary data accurately into the…"
498,newAssociate Data Analytics Analyst,Smithfield Foods,"Remote in Suffolk, VA+5 locations",,"In addition, this position will assist in maintaining data pipelines required for reporting.The Associate Data Analyst will support the Finance Data Analytics…"
499,newData Engineer,University of Maryland,"College Park, MD 20742+1 location","$90,000 a year",Experience with data related Monitoring tools.Knowledge of data privacy practices and laws;Experience with or interest in educational data mining.
500,Senior Data Scientist (remote),Liberty Mutual Insurance,Remote,"$129,500 - $184,100 a year","You will leverage primary data, advanced quantitative modeling and financial analysis to develop predictive models and analytical tools that enable data-driven…"
501,newData Engineer,MARS,"Franklin, TN 37064+7 locations",,Strong knowledge and experience in processing big data using Spark.Experienced in practices of DevOps and CICD within a data platform.
502,Data Scientist,auticon,"Remote in Columbus, IN",,"Undertake preprocessing of structured and unstructured data.Build and manage data pipelines and processes.Write SQL, NoSQL, or similar data queries."
503,newData Wrangler - Combine Automation PV&V,John Deere,"Silvis, IL 61282",,Understanding of CAN bus data structure and analysis.Ensure high quality data is available for analytics.Analyze data to help verify customer value in combine…
504,newReporting and Data Analyst (Remote),NRG,Remote in Pennsylvania+1 location,,Perform analysis of data and form conclusions/recommendations based on findings.Comfortable with ambiguity; ability to work with incomplete data or on…
505,US Part-Time Editors (Remote US),Elevate Services,Remote in United States,$20 an hour,Review small to large Excel workbooks of data for correct grammar and spelling and consistent data across files; ensuring analysis matches the data and that…
506,newSenior/Data Processor,UTEC Survey Group,Texas,,Review survey logs compiled by data acquisition crews and process acquired data sets using the Company's selected processing software.
507,newData Modeler,"JPMorgan Chase Bank, N.A.","Jersey City, NJ+3 locations",,"Demonstrate an awareness of the data lineage supported by the various levels of data model, in support of the data lifecycle.Data Registration and Data Lakes."
508,newAcademic Data Analyst,Chapman University,"Orange, CA 92866",,Provide data support to academic and administrative offices by utilizing reporting tools and verifying data accuracy.
509,newResearch Data Scientist I,Cleveland Clinic,Remote in United States+4 locations,,"Performs basic data analysis to include data validation, investigation, and testing of hypotheses.Performs basic data analysis to include data validation,…"
510,newSummer Quantitative Associate Program 2022,The Rock Creek Group,"Washington, DC 20036 (Downtown area)+1 location",,"Well versed in the latest techniques of analyzing data.Interface with analytic, risk and data teams to drive process improvements."
511,Incoming Data Processing Technician,Philips,"Hybrid remote in Rockville, MD",,"Preparing, loading and demographically reviewing data for analysis.Verifying incoming documentation and data for GCP/HIPAA violations and responding according…"
512,Strategic Data Specialist,Fairfax County Public Schools,"Fairfax County, VA+1 location",,Skills in statistical methods and data analysis utilizing technology tools for student data and instructional planning and evaluation tasks.
513,"Data Annotator, HR Domain",Moveworks.ai,+1 locationRemote,,"The position is fully remote and part-time (candidates must be authorized to work in the US, STEM OPT not accepted): 20 hours a week at a minimum, maybe more by…"
514,CONTRACTOR - Clinical Data Scientist,Mercury Healthcare,"Remote in Madison, WI",$150 - $200 an hour,"In this role you will use data tools to gather, analyze, and interpret Emergency Medical Record data to help expand use cases and increase the value of data."
515,newCampaign Data Analyst,FocusKPI Inc.,"Framingham, MA 01701",,Hands on experiences in standard techniques including data analysis and data visualization.Analysis will generally be complex where large volumes of data are…
516,Data Science / Business Intelligence / Informatics,Humana,"Boston, MA 02210 (South Boston area)+2 locations",,"Humana has a wide variety of opportunities focused on data and analytics.Experience working with, or desire to work with, healthcare or operational related…"
517,newMental Health Specialist,Google,"Hybrid remote in Mountain View, CA","$133,000 a year","Experience evaluating data and synthesizing trends into actionable interventions and plan strategy.Analyze and report on the well-being program, as well as use…"
518,newData Marketplace Consultant,Toyota,"Plano, TX 75023",,"Understanding of data governance and enterprise data management principles.Solid understanding of enterprise data architecture, metadata management, and master…"
519,Data Science Advisor,Dell Technologies,"Austin, TX+8 locations",,"2, Extracts data from data warehouse and executes preliminary data exploration, data preparation steps and variable/algorithm selection as well as model…"
520,Yosemite Archives Map Digitization,Student Conservation Association,"El Portal, CA 95318",,The Yosemite Archives are looking for four candidates who have a passion for history/archives and work well together.Shared housing will be provided by gender.
521,Sr Data Scientist,Netflix,"Remote in Los Gatos, CA",,5+ years relevant experience with large scale data.Plus: Experience creating data products and dashboards such as Tableau.
522,newData Engineer,Cloudbigdata Technologies,"Los Angeles, CA 90291 (Venice area)",,"2+ years work experience analyzing large data sets and visualizing information.3+ years experience in data analytics, strategy, management consulting, or…"
523,"Program Specialist (Data, Evaluation & Learning Specialist)",City of Sacramento,"Sacramento, CA 95814 (Downtown area)","$87,048 - $114,213 a year","That's right, most labor agreements offer the option of providing employees with bilingual pay if the department deems it to be operationally necessary."
524,DATA PROCESSING SYSTEMS ANALYST I (SR-20),"City and County of Honolulu, HI","Oahu Island, HI","$4,252 a month","One year of experience in the analysis of operating practices, methods, and procedures, some of which shall have involved the conduct of feasibility studies and…"
525,"Senior Data Entry Operator (Remote, US)",Change Healthcare,Remote in California+92 locations,,Verifies data and performs clerical tasks in the data processing function.1+ years of data processing experience.
526,Finance Operations Analyst,AvantStay,+1 locationRemote,"$70,000 - $85,000 a year",Support our owner statements process where we generate monthly financial statements for hundreds of our owners; this entails bringing data in from several…
527,newResearch Data Analyst,University of California San Francisco,"Remote in San Francisco, CA+3 locations",,"Knowledge of and experience with statistical data analysis programs such as STATA, MS Excel, and/or R for quantitative data and as well as the data management…"
528,newClaims Processor (work from home/remote),Highmark Inc.,Remote in Pennsylvania,,"In connection with this, all employees must comply with both the Health Insurance Portability Accountability Act of 1996 (HIPAA) as described in the Notice of…"
529,Intelligence Analyst,National Security Agency,"Fort Meade, MD","$66,214 - $103,176 a year",Apply new techniques and develop creative solutions to address analytic problems such as synthesizing large volumes of data and disparate sources of information…
530,newDATA ENTRY CLERK,Bureau Veritas,"Suwanee, GA 30024+2 locations",,"Perform high volume of data entry work for received samples.SUMMARY: Perform Data Entry on received samples, entering necessary data accurately into the…"
531,newAssociate Data Analytics Analyst,Smithfield Foods,"Remote in Suffolk, VA+5 locations",,"In addition, this position will assist in maintaining data pipelines required for reporting.The Associate Data Analyst will support the Finance Data Analytics…"
532,newData Scientist,"ANALYGENCE, Inc.","Columbia, MD 21046",,Minimum 5 years of demonstrated experience leading data science efforts.Lead the overall development of data models and algorithms to support machine learning.
533,newData Engineer,University of Maryland,"College Park, MD 20742+1 location","$90,000 a year",Experience with data related Monitoring tools.Knowledge of data privacy practices and laws;Experience with or interest in educational data mining.
534,Senior Data Scientist (remote),Liberty Mutual Insurance,Remote,"$129,500 - $184,100 a year","You will leverage primary data, advanced quantitative modeling and financial analysis to develop predictive models and analytical tools that enable data-driven…"
535,newData Engineer,MARS,"Franklin, TN 37064+7 locations",,Strong knowledge and experience in processing big data using Spark.Experienced in practices of DevOps and CICD within a data platform.
536,Data Scientist,auticon,"Remote in Columbus, IN",,"Undertake preprocessing of structured and unstructured data.Build and manage data pipelines and processes.Write SQL, NoSQL, or similar data queries."
537,newData Wrangler - Combine Automation PV&V,John Deere,"Silvis, IL 61282",,Understanding of CAN bus data structure and analysis.Ensure high quality data is available for analytics.Analyze data to help verify customer value in combine…
538,newReporting and Data Analyst (Remote),NRG,Remote in Pennsylvania+1 location,,Perform analysis of data and form conclusions/recommendations based on findings.Comfortable with ambiguity; ability to work with incomplete data or on…
539,US Part-Time Editors (Remote US),Elevate Services,Remote in United States,$20 an hour,Review small to large Excel workbooks of data for correct grammar and spelling and consistent data across files; ensuring analysis matches the data and that…
540,newResearch Data Associate,NYU Langone,"New York, NY+12 locations",,Compiles data and assists in consolidating and analyzing data for presentation to sponsoring and regulatory agencies.Assist with the informed consent process.
541,Data Entry Clerk,Association of Village Council Presidents,"Bethel, AK 99559",,Apply data program techniques and procedures.Comply with data integrity and security policies.Experience with MS Office and data programs.
542,"Financial Analyst Associate / Entry level / Grand Prairie, T...",LOCKHEED MARTIN CORPORATION,"Arlington, TX 76018 (Southeast area)+3 locations",,"Integrates information from multiple financial systems, processes and functions in order to consolidate the data forensics into actionable business solution…"
543,newData Analytics Specialist (Grant Funded),City of Charlotte and Mecklenburg County,"Charlotte, NC 28202 (Downtown Charlotte area)+1 location","$68,043 - $76,549 a year","Concentrated and attentive use of one or more senses (visual, audio, and other sensory modalities) for proof reading, data entry, tabulating data."
544,newData Engineer (Remote),HP,"Remote in Spring, TX+10 locations",,"Fluent in structured and unstructured data, its management, and modern data transformation methodologies.Supports projects requiring data engineering solutions…"
545,newLab Data Entry,TridentCare,"Tukwila, WA 98168",,Receives specimens from Phlebotomists and Couriers.Enters patient demographic and testing information into laboratory information system.
546,Data Analyst,"Remote Technology, Inc.",Remote,"$40,000 a year","As a Data Analyst, you will be the link between data producers and data consumers at Remote.Build strong documentation around data definitions."
547,newData Analyst,Risk Solutions,"Alpharetta, GA 30005+4 locations",,"Manages information security, data protection, data quality and exchange.Develops and maintains customer information database (usually specific data marts) to…"
548,newData Entry Coordinator,CHS Inc,"Royal City, WA 99357",,"You must be detail oriented, accurate, and have excellent communication skills, both verbal and written.Able to work regular office hours and extended hours /…"
549,newTalent Development & Learning Associate,Piedmont Healthcare,"Atlanta, GA",,Also primary resource for retrieving and compiling data for reports as needed.Compiles data and create reports by summarizing training evaluations as…
550,Data Collection Specialist,NJ Transit,"Newark, NJ+1 location",,High School Diploma or equivalent and three (3) to five (5) years of experience in the operation of an electronic data entry input device to transcribe data…
551,"newProduct Manager, Data & Analytics (Open to remote work, exce...",Converse,"Remote in Boston, MA+1 location","$153,000 a year",Experience working with large data sets and complex data models; intermediate SQL skills.Experience leading a team of data engineers.
552,newAccess Coordinator,HCA Healthcare,+1 locationRemote,$24.42 - $36.63 an hour,The AC II is responsible for using user access tools and other processes to provision accounts as necessary in a timely manner and to provide reports on user…
553,newData Scientist,Newsday Media Group,"Melville, NY",,Segmentation using diverse intuitive and non-intuitive data points and potentially fuzzy matching data sources.
554,Data Analyst,Teachable,Hybrid remote,,Assisting with data prep and statistical analyses.At least one year of experience in a professional role as a data or business analyst using SQL to produce…
555,newData Entry Coordinator,CHS Inc,"Royal City, WA 99357",,"You must be detail oriented, accurate, and have excellent communication skills, both verbal and written.Able to work regular office hours and extended hours /…"
556,newHR Assistant GRN,Crown Equipment Corporation,"Greencastle, IN 46135",,"Perform data entry and word processing support for Manufacturing.Prepare various word documents, data graphs, charts, spreadsheets and presentation material…"
557,Adjudicator- Entry to Experienced Level,National Security Agency,"Fort Meade, MD","$50,643 - $80,532 a year","Retrieving data from credit bureaus, requesting Local Agency checks, reviewing reports to determine criminal records or traffic violations."
558,"Strategy & Analytics Analyst (Monetization Office), Universi...",TikTok,"San Francisco, CA",,"Work closely with cross-functional partners, including local monetization teams, sales & sales operations, international strategy and data teams to drive…"
559,Data Intake Specialist,Northwest Mississippi Community College,"Senatobia, MS 38668",,"Collects, enters data, understands, and uses the OAE data management system.The Data Intake Specialist must work on-site under the direct and daily supervision…"
560,Data & Analytics Visualization Developer,Centric Consulting,"Remote in Cleveland, OH+1 location",,Develop and Maintain business intelligence data visualizations using Microsoft Power BI and/or Tableau.Validate that visualizations perform as expected in an…
561,"Associate, YouTube",YouTube,"New York, NY",,Bachelor's degree or equivalent practical experience.2 years of experience in consulting or sales at a technology or media company.
562,PS Engineering - Data Analysis,Procter & Gamble,"Cincinnati, OH 45201 (Central Business District area)+4 locations",,"Data management, ingesting new data, transforming/harmonizing data.Ensure relevant data and analytics are available to meet initiatives and technical readiness…"
563,newData Analyst,Anheuser-Busch,"St. Louis, MO","$100,000 - $112,500 a year","Extracts data from primary and secondary sources and assess the quality and meaning of data, translates data into a readable format."
564,Data Science / Business Intelligence / Informatics,Humana,"Boston, MA 02210 (South Boston area)+2 locations",,"Humana has a wide variety of opportunities focused on data and analytics.Experience working with, or desire to work with, healthcare or operational related…"
565,Data Analyst - Educational Innovation,Northeastern University,"Boston, MA+1 location",,"The ideal candidate will have expertise in data analysis, data visualization and dashboard development, and a desire to continue enhancing their skill set with…"
566,newResearch Data Scientist I,Cleveland Clinic,Remote in United States+4 locations,,"Performs basic data analysis to include data validation, investigation, and testing of hypotheses.Performs basic data analysis to include data validation,…"
567,Data Analyst,Teachable,Hybrid remote,,Assisting with data prep and statistical analyses.At least one year of experience in a professional role as a data or business analyst using SQL to produce…
568,Applied Data Scientist,SABIC - Saudi Basic Industries Corp.,"Sugar Land, TX",,Ability to carry out advanced data analyses.Demonstrated experience in use of data based models to optimize industrial processes is preferred.
569,Data Scientist - Analytics,Acorn Analytics,+1 locationRemote,$50 an hour,"Acorn provides valuable and actionable insights into organizations' raw data.Comfortable in python, proficient with pandas, matplotlib, performing exploratory…"
570,IT Customer Support Representative,Los Angeles Unified School District,"Los Angeles, CA",Up to $33.10 an hour,Analyze data and draw logical conclusions.Enter relevant data into a computer while conversing on the telephone - Organize files and maintain accurate records.
571,Data Analyst I,Railinc,"Cary, NC 27513",,"Prepare timely data quality analyses recommend business rules to manage data quality issues.Superior data access skills: access, transform and manipulate…"
572,Data Analyst,OpenVault,"Jersey City, NJ",,Provide input on how to integrate additional data sets from independent sources we can use to leverage our existing data.
573,Data Visualization Analyst,California State University,"San Jose, CA+3 locations","$4,476 a month","Expert user in Tableau including in SQL writing scripts to analyze data and perform data queries, creating reports with quantitative modeling, detail-oriented…"
574,Data Analyst,Bid Ops,"San Francisco, CA",,Willingness to immerse yourself in a data science studio for collaborative data analysis.1+ year of experience translating real world data into clearly…
575,"Program Specialist (Data, Evaluation & Learning Specialist)",City of Sacramento,"Sacramento, CA 95814 (Downtown area)","$87,048 - $114,213 a year","That's right, most labor agreements offer the option of providing employees with bilingual pay if the department deems it to be operationally necessary."
576,Data Analyst,Teachable,Hybrid remote,,Assisting with data prep and statistical analyses.At least one year of experience in a professional role as a data or business analyst using SQL to produce…
577,"newSr. Analyst, Data - REMOTE",Molina Healthcare,"Remote in Long Beach, CA+2 locations",,"With limited supervision, the Sr. Analyst, Data is responsible for data compilation, data management, data analysis, and reporting."
578,newSr. Data Analyst,Nielsen,"Remote in Emeryville, CA",,"Participate in exploratory data analysis, data preparation, transformations, statistical analysis, data cleansing, data mining, and communication of insights…"
579,newR&D Data Science,Procter & Gamble,"Mason, OH 45040+11 locations",,"In this role you will leverage advanced machine learning methods including deep learning (DL) to solve important, company-wide R&D challenges."
580,DATA ENTRY CLERK,Calhoun County Alabama,"Anniston, AL 36201",$13.19 an hour,A copy of High school diploma or GED and drivers license must accompany the application.Qualifications: Must have a state accredited high school diploma or GED…
581,newCampaign Data Analyst,FocusKPI Inc.,"Framingham, MA 01701",,Hands on experiences in standard techniques including data analysis and data visualization.Analysis will generally be complex where large volumes of data are…
582,Data Center Hardware Operations Manager,Google,"Clarksville, TN+1 location",,Experience with data gathering/analysis.Experience working in data centers and building out infrastructure.You will oversee the quality installation of server…
583,newDocumentation Specialist I,Navy Federal Credit Union,"Temporarily Remote in Winchester, VA+2 locations",$23.00 - $28.50 an hour,Pay Range: Navy Federal Credit Union assesses market data to establish pay ranges that enable us to remain competitive.WayUp Top 100 Internship Programs.
584,newData Engineer,University of Maryland,"College Park, MD 20742+1 location","$90,000 a year",Experience with data related Monitoring tools.Knowledge of data privacy practices and laws;Experience with or interest in educational data mining.
585,newTalent Development & Learning Associate,Piedmont Healthcare,"Atlanta, GA",,Also primary resource for retrieving and compiling data for reports as needed.Compiles data and create reports by summarizing training evaluations as…
586,Flight Data Analyst,L3Harris Technologies,"Remote in Phoenix, AZ+1 location",,Experience working with data extracted from Flight Data Recorders.Management of ad-hoc requests for analysis or data processing and delivery.
587,Data Collection Specialist,NJ Transit,"Newark, NJ+1 location",,High School Diploma or equivalent and three (3) to five (5) years of experience in the operation of an electronic data entry input device to transcribe data…
588,"newProduct Manager, Data & Analytics (Open to remote work, exce...",Converse,"Remote in Boston, MA+1 location","$153,000 a year",Experience working with large data sets and complex data models; intermediate SQL skills.Experience leading a team of data engineers.
589,newAccess Coordinator,HCA Healthcare,+1 locationRemote,$24.42 - $36.63 an hour,The AC II is responsible for using user access tools and other processes to provision accounts as necessary in a timely manner and to provide reports on user…
590,newData Scientist,Newsday Media Group,"Melville, NY",,Segmentation using diverse intuitive and non-intuitive data points and potentially fuzzy matching data sources.
591,newProduct Data Governance Manager,Nike,"Beaverton, OR",,Aligning the business’ needs for information with existing data and defines & activates new data needs.Lead data policy & process training.
592,newData Analyst,RPS Group,"Seattle, WA 98122 (Capitol Hill area)",,"Quality assurance of incoming data.Quality control of outgoing data.Maintaining excellent communication among the data team, with management, and with clients…"
593,Data Analyst,Teachable,Hybrid remote,,Assisting with data prep and statistical analyses.At least one year of experience in a professional role as a data or business analyst using SQL to produce…
594,Data Intake Specialist,Northwest Mississippi Community College,"Senatobia, MS 38668",,"Collects, enters data, understands, and uses the OAE data management system.The Data Intake Specialist must work on-site under the direct and daily supervision…"
595,newData Analyst,Middleborough Public Schools,"Middleborough, MA 02346",,"Familiarity with data retrieval from DESE and various other sources for data analysis.To be a key member of the Middleborough Public School Staff, reporting to…"
596,Entry Level Business Analyst,Agama Solutions,+1 locationRemote,$30 an hour,Troubleshoot data issues by validating different data sources.Check reporting results and flag potential issues.Strong knowledge of SQL and Python.
597,newAssociate Software Engineer - Data and Analytics,WALGREENS,"Chicago, IL 60607 (West Loop Gate area)+7 locations",,"Experience analyzing and reporting data in order to identify issues, trends, or exceptions to drive improvement of results and find solutions."
598,Data Analyst,OpenVault,"Jersey City, NJ",,Provide input on how to integrate additional data sets from independent sources we can use to leverage our existing data.
599,Data Scientist - Analytics,Acorn Analytics,+1 locationRemote,$50 an hour,"Acorn provides valuable and actionable insights into organizations' raw data.Comfortable in python, proficient with pandas, matplotlib, performing exploratory…"
600,"Strategy & Analytics Analyst (Monetization Office), Universi...",TikTok,"San Francisco, CA",,"Work closely with cross-functional partners, including local monetization teams, sales & sales operations, international strategy and data teams to drive…"
601,newHR Assistant GRN,Crown Equipment Corporation,"Greencastle, IN 46135",,"Perform data entry and word processing support for Manufacturing.Prepare various word documents, data graphs, charts, spreadsheets and presentation material…"
602,newC4J Data Analyst,Center For Policing Equity,Remote,,Perform data pre-processing/wrangling tasks to prepare the data for analysis.Use quantitative data to answer C4J research questions.
603,SYSTEMWIDE DATA ANALYST,University of California Office of the President,"Remote in Oakland, CA+1 location","$95,000 - $105,000 a year","Experience with data visualization tools and techniques.As a member of the Systemwide Library Planning team at CDL, the Systemwide Data Analyst will co-design…"
604,Data Analyst,Shriners Hospitals for Children,"Sacramento, CA 95817 (Medical Center area)",,Pull and integrate data from disparate sources (e.g. cost and claims or clinical data).Pull and integrate data from disparate sources (e.g. cost and claims or…
605,newData Management,Cornell University,"Middletown, NY",$25.10 an hour,"Conduct data entry, database maintenance and report production activities.Proficiency in data management and a variety of computer software applications."
606,newData Analyst,Altair Engineering,"Torrance, CA",,Achieve corporate objectives by translating critical data into insights Honda can use to develop new vehicles that anticipate future customer needs.
607,Senior Data Scientist,Paramount,"New York, NY 10036+1 location",,"Generate data driven insights through exploratory data analysis on first, second, and third-party data.Champion data governance and evangelize data science…"
608,newStrategic Data Analyst,Memorial Sloan Kettering Cancer Center,"New York, NY 10017 (Turtle Bay area)+1 location",,"Identify and collect vital information from internal and external sources, prepare data for analysis, including data transformations and imputation of missing…"
609,newData Operations Analyst,Charles Schwab,"Lone Tree, CO 80124","$78,200 - $119,900 a year","You will review exception reports and manage resolution of issues for data loads of portfolio positions, transactions and other data domains."
610,newPROBATION AND PAROLE AIDE,State of Rhode Island,"Providence, RI","$44,057 - $48,748 a year",To assist in the performance of intake procedures involving the interpretation and completion of intake data forms.To do related work as required.
611,Data Sourcing and Strategy,Opendoor,United States,"$132,000 - $211,000 a year","7+ years of data strategy, data sourcing, data analytics, or data acquisition experience.Data Sourcing & Strategy has been created as a new team within…"
612,newSoftware Developer (Data Analysis),BAE Systems,"Fort Worth, TX 76108+18 locations",,"Analyze large sets of data to identify trends or patterns for a potential algorithm.The Software Engineer will develop and deliver functionality using Python,…"
613,newData Analyst,Maritz Inc.,Remote+1 location,,"Emphasizes data storytelling, visualizing data into applicable insights, and intuitive dashboards for client presentations and ongoing reference."
614,Customer Data Analyst,GHX,+1 locationRemote,"$52,500 - $72,450 a year","Develop and maintain an in-depth understanding of Lumere’s proprietary data sets.Experience with healthcare or hospital data preferred (e.g., purchase order…"
615,newData Scientist II - Loyalty,Levi Strauss & Co.,+4 locationsRemote,,Understand and own our loyalty program goals and values.Use different ML algorithms and frameworks to improve the knowledge of our loyal members and make every…
616,newData Analyst I,Landis+Gyr,"Hybrid remote in Kirkland, WA",,Develop and provide data reports to meet customer requirements.Responsible for monitoring daily database processes in interest of that data accuracy.
617,Cruise Swabber,"Bio-Reference Laboratories, Inc.","Galveston, TX 77550+1 location",,"Contacts client to retrieve any missing data.Verifies patient identification, verifies all tests ordered and completes all required demographic data and…"
618,newData Scientist,Newsday Media Group,"Melville, NY",,Segmentation using diverse intuitive and non-intuitive data points and potentially fuzzy matching data sources.
619,Junior Data Analyst,MealPal,"New York, NY",,️ Mine data for answers to business challenges.️ Develop insights and recommend business strategy based on data.This role is ideal for a 2022 College Grad.
620,newMental Health Data Analyst,Skyland Trail,"Atlanta, GA 30341+1 location",,Establish data entry priorities by understanding data reporting deadlines.Experience with data entry into spreadsheets.8 paid organization-wide holidays.
621,newAcademic Data Analyst,Chapman University,"Orange, CA 92866",,Provide data support to academic and administrative offices by utilizing reporting tools and verifying data accuracy.
622,"newProgram Manager, Partner Programs",Netflix,Remote,,Comfortable working with and leveraging data to understand and action learnings.This role will also aid in setting up key success metrics of these onboarding…
623,SYSTEMWIDE DATA ANALYST,University of California Office of the President,"Remote in Oakland, CA+1 location","$95,000 - $105,000 a year","Experience with data visualization tools and techniques.As a member of the Systemwide Library Planning team at CDL, the Systemwide Data Analyst will co-design…"
624,newStudent Assistant - Program Support (REMOTE),"University Enterprises, Inc.","Temporarily Remote in Sacramento, CA+10 locations",$15.00 - $24.34 an hour,Perform calculations and data entry as needed.Sort and filter data sets to find outliers.Review data submitted to the Modernized Appliance Efficiency Database…
625,"newSenior Associate, Customer Service",Spotify,"Remote in New York, NY",,"Strong data analysis skills with the ability to interpret and summarise complex performance and quantitative data, as well as customer conversations and other…"
626,newData Scientist,PepsiCo,"Plano, TX+2 locations",,Partner with data engineers to ensure data access for discovery and proper data is prepared for model consumption.Refine requirements into modelling problems.
627,newResearch Data Scientist I,Cleveland Clinic,Remote in United States+4 locations,,"Performs basic data analysis to include data validation, investigation, and testing of hypotheses.Performs basic data analysis to include data validation,…"
628,Purchasing Assistant,ALDI,"Hybrid remote in Petersburg, VA+8 locations",$20 an hour,Proficiency in data entry and typing.Upholds the security and confidentiality of documents and data within area of responsibility.
629,Editor Mindfulness,Outside Online,"Remote in Boulder, CO","$38,000 - $60,000 a year","Outside reserves the right to take legal action, including criminal action, against such individuals/entities.Proven ability to meet deadlines."
630,"Part Time Operator, Data Entry US",Sportradar AG,"Minneapolis, MN+3 locations",,Monitor data feeds during live games and report errors.You will be responsible to maintain the data collection and guarantee the highest quality.
631,Business Data Analyst,University of Utah,"Remote in Salt Lake City, UT+2 locations","$75,000 - $79,699 a year","This position is responsible for querying data, performing comprehensive analysis, and communicating and/or visualizing data for end user consumption."
632,newData Modeler - Remote,Brainlabs Digital,Remote,,Define insightful hypotheses and identify methods to leverage our's and our partners' large internal data sets to validate hypotheses and enhance 3rd party…
633,Data Entry Clerk (Full Time) - Santa Fe Springs,"WestPac Labs, Inc.","Santa Fe Springs, CA+1 location",,"Have two (2) years of data entry or related experience.As a Data Entry Clerk at WestPac Labs, you will be responsible for collecting and entering data in…"
634,newLab Technician II,City of Tampa,"Tampa, FL","$46,238 - $65,790 a year","Prepares time reports, requisitions and forms; operates computer for data collection and record keeping; participates in on-the-job training to improve skill;…"
635,Overseas & Remote Shoot Data Coordinator,Neiman Marcus,"Remote in Dallas, TX",,There are 38 full-line Neiman Marcus stores in cosmopolitan markets across the United States and a sophisticated digital platform that attracts shoppers…
636,newData Designer,Akraya Inc.,Remote in Michigan,,Understanding of data entity relationships and data modeling.Farmers is evolving into an agile work environment with collaboration in mind and a continuous…
637,Data Analyst,Government of the District of Columbia,"Washington, DC 20002 (NoMa area)+1 location","$98,176 - $126,508 a year","The incumbent will develop and monitor data visualizations including utilization of graphic representations, GIS mapping tools, and live data dashboards."
638,newData Engineer,Warren County Public Schools,"Bowling Green, KY 42101",,Hours per day 7.5 hrs/day.
639,Data Scientist,IBM,"San Jose, CA 95101 (North Valley area)+22 locations",,"Strong analytical skills, data driven mindset.You will be developing NLP based models for prediction based on text data."
640,newData Scientist I - DBHi,Children's Hospital of Philadelphia,"Philadelphia, PA 19146 (Graduate Hospital area)+5 locations",,Customizing data annotation tools to assist researchers in annotating data/text and training models.Working with sensitive data in a secure environment.
641,newData Engineer,"Lessen, Inc","Remote in Seattle, WA",,"Experience in data technologies such as real-time streaming with Apache Kafka or AWS Kinesis, ETL jobs, data lakes, and data warehousing."
642,newData Scientist,M3 USA,Remote,,Applied knowledge of data & analytics tools and approaches across all data lifecycle stages.Instill data-driven decision making into the product team’s…
